model,mse_cormat,mse,seed,data,d_dim
Cosine,6.253156080053475e-29,2.9000621977206797e-6,85,BB Train,18
Sigmoid,4.947434174094259e-31,2.900062197720534e-6,85,BB Train,18
RBF,4.67014220716508e-31,2.9000621977317716e-6,85,BB Train,18
Poly,1.1775195446230609,21318.48290183961,86,BB Train,18
Cosine,6.507291395133088e-29,2.9000621977209817e-6,86,BB Train,18
Sigmoid,5.160417072822624e-31,2.9000621977205277e-6,86,BB Train,18
RBF,6.7723474869501335e-31,2.900062197731828e-6,86,BB Train,18
Poly,1.1837656307156887,42636.965800778926,87,BB Train,18
Cosine,6.417096552000582e-29,2.9000621977210346e-6,87,BB Train,18
Sigmoid,5.100444632281346e-31,2.900062197720451e-6,87,BB Train,18
RBF,6.1829925005786875e-31,2.9000621977314332e-6,87,BB Train,18
Poly,1.1815134034955344,42636.96580077922,88,BB Train,18
Cosine,6.347955094151625e-29,2.9000621977206357e-6,88,BB Train,18
Sigmoid,4.90762731001499e-31,2.9000621977205184e-6,88,BB Train,18
RBF,6.694308510973593e-31,2.900062197731765e-6,88,BB Train,18
Poly,1.1779412471719417,21318.48290183942,89,BB Train,18
Cosine,6.513916979446232e-29,2.900062197720561e-6,89,BB Train,18
Sigmoid,5.1209614463105384e-31,2.900062197720473e-6,89,BB Train,18
RBF,7.002410357455887e-31,2.9000621977312977e-6,89,BB Train,18
Poly,9.297480171933176e-13,2.900184949335834e-6,90,BB Train,18
Cosine,6.677245197509124e-29,2.9000621977208415e-6,90,BB Train,18
Sigmoid,5.175525954987767e-31,2.9000621977204714e-6,90,BB Train,18
RBF,5.336411687228045e-31,2.900062197731147e-6,90,BB Train,18
Poly,8.923134759104732e-13,2.9001849494843946e-6,91,BB Train,18
Cosine,6.640417994067529e-29,2.9000621977206476e-06,91,BB Train,18
Sigmoid,5.167361132706202e-31,2.9000621977203447e-6,91,BB Train,18
RBF,6.504270964600898e-31,2.9000621977319593e-6,91,BB Train,18
Poly,8.928587961824163e-13,2.9001850209013155e-6,92,BB Train,18
Cosine,6.654515831830646e-29,2.9000621977206484e-6,92,BB Train,18
Sigmoid,5.220809385002389e-31,2.9000621977205412e-6,92,BB Train,18
RBF,7.462964483198665e-31,2.9000621977315857e-6,92,BB Train,18
Poly,1.1860178726571904,63955.44869971822,93,BB Train,18
Cosine,6.317829607562678e-29,2.900062197720835e-6,93,BB Train,18
Sigmoid,5.040264209566309e-31,2.9000621977205124e-6,93,BB Train,18
RBF,5.355206401164519e-31,2.900062197731397e-6,93,BB Train,18
Poly,1.1753286514991041,21318.48290183981,94,BB Train,18
Cosine,6.479232030280165e-29,2.900062197720688e-6,94,BB Train,18
Sigmoid,4.99532099955541e-31,2.900062197720542e-6,94,BB Train,18
RBF,7.0818469394624585e-31,2.9000621977325e-6,94,BB Train,18
Poly,1.185786684544456,63955.44869971822,95,BB Train,18
Cosine,6.3599868533966e-29,2.9000621977207153e-6,95,BB Train,18
Sigmoid,5.035054799409549e-31,2.9000621977205167e-6,95,BB Train,18
RBF,5.669311991832641e-31,2.900062197731524e-6,95,BB Train,18
Poly,1.1768950136149094,21318.482901839667,96,BB Train,18
Cosine,6.488725943009797e-29,2.900062197720765e-6,96,BB Train,18
Sigmoid,5.01398935161817e-31,2.900062197720599e-6,96,BB Train,18
RBF,6.619923292210061e-31,2.9000621977319893e-6,96,BB Train,18
Poly,1.1772579308004032,21318.482901839612,97,BB Train,18
Cosine,6.522381460098828e-29,2.9000621977209334e-6,97,BB Train,18
Sigmoid,5.195594290514566e-31,2.9000621977205806e-6,97,BB Train,18
RBF,5.021704122251446e-31,2.9000621977318356e-6,97,BB Train,18
Poly,8.717354711023592e-13,2.9001848755142554e-6,98,BB Train,18
