model,mse_cormat,mse,seed,data,d_dim
PCA,0.0014233929714972705,0.06295023547163019,85,BB Train,18
VAE,2.2373086114268383e-4,0.01951575352282772,86,BB Train,18
PCA,0.001369845542510987,0.05960910472689829,86,BB Train,18
VAE,2.7218888582895785e-4,0.020125861838781175,87,BB Train,18
PCA,0.0013808565621726986,0.059541436332533934,87,BB Train,18
VAE,2.6983186751365905e-4,0.02049695775787777,88,BB Train,18
PCA,0.0014013912438091242,0.06196665608648412,88,BB Train,18
VAE,2.2651409882657432e-4,0.019611159085611077,89,BB Train,18
PCA,0.0013930693564746042,0.06001855310593067,89,BB Train,18
VAE,1.9785002175190452e-4,0.01899909333924757,90,BB Train,18
PCA,0.0014800800040685501,0.06055100007070407,90,BB Train,18
VAE,1.9689970259529913e-4,0.018814191085059093,91,BB Train,18
PCA,0.001435772686880473,0.05937611326967006,91,BB Train,18
VAE,2.0030446819345327e-4,0.01913252659689951,92,BB Train,18
PCA,0.0014895151712273262,0.060907295787043486,92,BB Train,18
VAE,3.279206145111255e-4,0.020891090326195735,93,BB Train,18
PCA,0.0014009981649263058,0.0609001912581135,93,BB Train,18
VAE,2.2603083342463999e-4,0.019876252778169595,94,BB Train,18
PCA,0.0014736857164269737,0.06281035208630455,94,BB Train,18
VAE,3.2643345419969397e-4,0.020782116216441462,95,BB Train,18
PCA,0.0013782291358670048,0.05963171165882823,95,BB Train,18
VAE,2.2441548285599206e-4,0.0197327243177615,96,BB Train,18
PCA,0.0014491535086310777,0.061861305051326684,96,BB Train,18
VAE,2.2376381019097825e-4,0.0195847628564461,97,BB Train,18
PCA,0.001430866217578888,0.061469453307888236,97,BB Train,18
VAE,1.9837606420847418e-4,0.018968263397964074,98,BB Train,18
PCA,0.001441494027669855,0.05994535247861552,98,BB Train,18
VAE,2.2630767762568319e-4,0.01987422026742183,99,BB Train,18
PCA,0.0014109386398069728,0.061641493813757456,99,BB Train,18
VAE,1.970396060300969e-4,0.01898521635660371,100,BB Train,18
PCA,0.0014049974636804801,0.05934562085478444,100,BB Train,18
VAE,2.0087693272113165e-4,0.019135545413090708,101,BB Train,18
PCA,0.001486812686044129,0.0609491991026712,101,BB Train,18
VAE,2.256556048818712e-4,0.019615853318027218,102,BB Train,18
PCA,0.0013921653265825417,0.06015477726997864,102,BB Train,18
VAE,2.2623352610017753e-4,0.01956310676027044,103,BB Train,18
PCA,0.0013931939794347256,0.059544256961090676,103,BB Train,18
VAE,3.2367486432009106e-4,0.020848487438863018,104,BB Train,18
PCA,0.0013904021028347054,0.060691832546572094,104,BB Train,18
VAE,1.972807770315572e-4,0.01885581718581684,105,BB Train,18
PCA,0.0014209825024551759,0.05912557683116743,105,BB Train,18
VAE,1.9781001528261033e-4,0.018927401958494763,106,BB Train,18
PCA,0.0014000597410415375,0.05881687852409688,106,BB Train,18
VAE,2.681890879640936e-4,0.020346119930669874,107,BB Train,18
PCA,0.0014044568418562656,0.06183254064265918,107,BB Train,18
VAE,2.2322083014870197e-4,0.019747642399145175,108,BB Train,18
PCA,0.001443051535408017,0.0626137264473508,108,BB Train,18
VAE,2.7662221516416315e-4,0.02023597100063948,109,BB Train,18
PCA,0.001379735718252585,0.05956892158638427,109,BB Train,18
VAE,2.2418170933572712e-4,0.019540989714005915,110,BB Train,18
PCA,0.0014087363381635944,0.06104976870837571,110,BB Train,18
VAE,1.9829562541413291e-4,0.019093295404395957,111,BB Train,18
PCA,0.0015456765027164476,0.06212852222943662,111,BB Train,18
VAE,2.728476344911931e-4,0.020353969837035305,112,BB Train,18
PCA,0.0013982160861338994,0.061384212986145784,112,BB Train,18
VAE,1.9655537441339404e-4,0.018816126019929214,113,BB Train,18
PCA,0.0014100694906226023,0.058848104249307046,113,BB Train,18
VAE,2.7523216198864275e-4,0.020242077198124132,114,BB Train,18
PCA,0.0013886093406838885,0.05985388169847291,114,BB Train,18
VAE,2.6902101495298133e-4,0.020333694496912566,115,BB Train,18
PCA,0.0014450279611556264,0.06260386542122391,115,BB Train,18
VAE,1.9726633911746312e-4,0.0189620129195786,116,BB Train,18
PCA,0.0015080011647154636,0.060695862944241064,116,BB Train,18
VAE,2.253156268008729e-4,0.01968895089134424,117,BB Train,18
PCA,0.001394276648919124,0.060284844835613645,117,BB Train,18
VAE,1.971446068719987e-4,0.018802172207354334,118,BB Train,18
PCA,0.0015316225684765944,0.06081780263239652,118,BB Train,18
VAE,2.746263381227214e-4,0.020076830269738548,119,BB Train,18
PCA,0.0013917161873664616,0.05983174062456912,119,BB Train,18
VAE,2.2895191229399322e-4,0.01972965901748546,120,BB Train,18
PCA,0.0014157866349903284,0.06041211321497261,120,BB Train,18
VAE,1.9752621062746513e-4,0.019046042510523074,121,BB Train,18
PCA,0.0014179813278684527,0.05971002895890394,121,BB Train,18
VAE,2.718118300490676e-4,0.02037864348136667,122,BB Train,18
PCA,0.001405203859971721,0.06136764551374545,122,BB Train,18
VAE,1.9636169132206374e-4,0.018969394280408676,123,BB Train,18
PCA,0.00145578333433546,0.06063258625838322,123,BB Train,18
VAE,2.2771525305879427e-4,0.019531936633926706,124,BB Train,18
PCA,0.0013780146435769713,0.05914540818167924,124,BB Train,18
VAE,2.2482841175998833e-4,0.019470043954308264,125,BB Train,18
PCA,0.0013724006230002427,0.059930409703677766,125,BB Train,18
VAE,2.6621503026841173e-4,0.020252548056664193,126,BB Train,18
PCA,0.0014390111636096046,0.06332114452345869,126,BB Train,18
VAE,2.0122077271926935e-4,0.01921545130307419,127,BB Train,18
PCA,0.001476352275289687,0.06106599382758058,127,BB Train,18
VAE,2.3479947239693757e-4,0.02019966893803235,128,BB Train,18
PCA,0.0015051345154989916,0.06374164273812771,128,BB Train,18
VAE,1.984391054898709e-4,0.018972282114674877,129,BB Train,18
PCA,0.001571907937356753,0.06168416583453751,129,BB Train,18
VAE,1.9724782028581343e-4,0.018772587258581042,130,BB Train,18
PCA,0.0014542075619048641,0.05959906892562083,130,BB Train,18
VAE,1.9984553724077398e-4,0.01884355120980335,131,BB Train,18
PCA,0.001427943326299361,0.05924113076910817,131,BB Train,18
VAE,2.736590488084504e-4,0.02059179001996472,132,BB Train,18
PCA,0.0014157689528702755,0.062438836298161556,132,BB Train,18
VAE,2.0013165282181065e-4,0.019175558944546745,133,BB Train,18
PCA,0.001504070176409129,0.0610022833731968,133,BB Train,18
VAE,2.7697949154840664e-4,0.020479388164755908,134,BB Train,18
PCA,0.0014281573982640734,0.0623175417735838,134,BB Train,18
VAE,1.9816977561666933e-4,0.018802735772228813,135,BB Train,18
PCA,0.001383196544061335,0.05836778152776011,135,BB Train,18
VAE,1.9862509329020335e-4,0.018844357744802233,136,BB Train,18
PCA,0.0014946679859537918,0.06029900739382321,136,BB Train,18
VAE,2.3190936861385743e-4,0.019786426970507344,137,BB Train,18
PCA,0.0014269840072401584,0.060501128394356105,137,BB Train,18
VAE,1.9856300667757724e-4,0.018789815165214243,138,BB Train,18
PCA,0.0014005784275043043,0.05812449404575639,138,BB Train,18
VAE,2.2543488353381032e-4,0.019681501977396227,139,BB Train,18
PCA,0.001446922822980971,0.061886082136863384,139,BB Train,18
VAE,2.252407686914053e-4,0.01953459418957808,140,BB Train,18
PCA,0.0013923062106001509,0.060019348447960474,140,BB Train,18
VAE,2.0140679178012104e-4,0.019105847340808137,141,BB Train,18
PCA,0.0014274059233714183,0.05964933506382211,141,BB Train,18
VAE,2.2718642879389535e-4,0.019588911345789134,142,BB Train,18
PCA,0.001379960638290503,0.05969262486442162,142,BB Train,18
VAE,1.9787178637256428e-4,0.01880933203299013,143,BB Train,18
PCA,0.0015551733869867029,0.06061754089655545,143,BB Train,18
